date,time,score,total,accuracy_%,avg_time_s,memscore
2026-06-06,20:54:13,1,5,20.0,2.62,20.0
2026-06-06,20:56:15,0,5,0.0,2.67,0.0
2026-06-07,01:57:06,4,5,80.0,6.53,41.2
